time	current
56940.0	5.7765875722
57000.0	5.772985694
57060.0	5.836716844
57120.0	5.6323679126
57180.0	6.1434263249
57240.0	5.6797045861
57300.0	6.0691924706
57360.0	5.6888876347
57420.0	5.7169200895
57480.0	6.2361225351
57540.0	6.139022582
57600.0	6.2467046016
57660.0	6.736465716
57720.0	6.8324390289
57780.0	6.8234899592
57840.0	6.6368219776
57900.0	6.7616538029
57960.0	6.6576490571
58020.0	6.2378449612
58080.0	6.3345926486
58140.0	6.3985837996
58200.0	6.6646837868
58260.0	6.670394581
58320.0	6.6173860759
58380.0	6.6365480741
58440.0	6.4818544585
58500.0	6.2823669707
58560.0	6.5934990785
58620.0	6.2161319423
58680.0	6.5643161619
58740.0	6.4394536174
58800.0	5.9810776239
58860.0	6.3104546764
58920.0	6.3188764858
58980.0	6.6055946305
59040.0	6.4073787169
59100.0	6.4686561647
59160.0	6.4963526518
59220.0	6.3975759508
59280.0	6.2476551199
59340.0	6.4490440711
59400.0	6.6864384671
59460.0	6.3279743243
59520.0	6.573710989
59580.0	6.5474864027
59640.0	6.7088736622
59700.0	6.4625368573
59760.0	6.8842488371
59820.0	6.6267855279
59880.0	6.5228787971
59940.0	6.462301318
60000.0	6.1324369988
60060.0	6.23008318
60120.0	6.2972453724
60180.0	6.1451338795
60240.0	6.1482682405
60300.0	6.2104215818
60360.0	6.2203035348
60420.0	6.0656555417
60480.0	5.8013434162
60540.0	5.5734531722
60600.0	5.5605718012
60660.0	5.6598260555
60720.0	5.888191911
60780.0	6.1426696328
60840.0	5.636600504
60900.0	5.4738677117
60960.0	5.9304331046
61020.0	5.2852476161
61080.0	5.5581580093
61140.0	5.7942384684
61200.0	5.435845988
61260.0	5.6385521874
61320.0	5.615457113
61380.0	5.4131410446
61440.0	5.5008059599
61500.0	5.156713184
61560.0	5.1998809243
61620.0	5.0055290765
61680.0	5.2616152287
61740.0	5.0072154946
61800.0	4.9503461536
61860.0	4.7606264604
61920.0	4.7986719126
61980.0	4.6350606527
62040.0	4.0685556373
62100.0	4.522976337
62160.0	4.346362014
62220.0	4.4499007439
62280.0	4.610545676
62340.0	4.559847326
62400.0	4.4904743464
62460.0	4.1663105679
62520.0	4.5864910856
62580.0	4.4668747793
62640.0	4.4182393377
62700.0	4.5848227164
62760.0	4.3614424715
62820.0	4.0995752908
62880.0	4.4491205816
62940.0	4.0377474322
63000.0	3.9257572191
63060.0	3.6068097367
63120.0	4.0258202521
63180.0	4.0589501219
63240.0	4.5194251926
63300.0	4.4690815132
63360.0	4.2280686386
63420.0	4.0457453482
63480.0	4.2267701657
63540.0	4.2083780663
63600.0	4.2122776827
63660.0	4.0469564578
63720.0	3.844270682
63780.0	4.0360119737
63840.0	4.1803488314
63900.0	4.0139743535
63960.0	4.029540761
64020.0	3.7939745547
64080.0	3.8006830381
64140.0	3.8358741097
64200.0	3.7987380584
64260.0	4.0816295121
64320.0	3.9598246523
64380.0	3.6967867026
64440.0	3.7095226011
64500.0	4.0058495357
64560.0	4.1598518225
64620.0	4.1476798351
64680.0	4.3958105982
64740.0	4.4761866207
64800.0	4.5507949626
64860.0	4.3175981403
64920.0	4.2319034035
64980.0	4.2313686032
65040.0	3.9427976744
65100.0	4.1510449067
65160.0	4.1215677181
65220.0	3.9974210415
65280.0	4.0232632002
65340.0	3.9327789173
65400.0	4.2331967047
65460.0	4.1115708093
65520.0	4.2422428826
65580.0	4.1533428632
65640.0	4.2433870795
65700.0	3.7279398443
65760.0	3.7483934763
65820.0	3.6777769825
65880.0	3.5979414067
65940.0	3.9516481014
66000.0	3.5057738189
66060.0	3.405823769
66120.0	2.9797526801
66180.0	3.2040304183
66240.0	3.1686991973
66300.0	3.5303788602
66360.0	3.2220966317
66420.0	3.099151852
66480.0	3.0547299538
66540.0	3.4251092514
66600.0	3.2441084512
66660.0	2.9185022265
66720.0	2.6055639894
66780.0	3.3536626584
66840.0	3.5086491466
66900.0	3.6368285565
66960.0	3.5054494716
67020.0	3.7691144057
67080.0	3.0969256994
67140.0	3.4128741758
67200.0	3.3803647674
67260.0	3.0197496498
67320.0	3.1840203118
67380.0	3.3826767864
67440.0	3.3892714845
67500.0	3.2079999227
67560.0	3.3444661778
67620.0	3.2811686283
67680.0	3.2959416754
67740.0	3.0910266221
67800.0	3.1647490723
67860.0	2.9089259585
67920.0	3.3979519514
67980.0	3.1499731198
68040.0	2.6261125608
68100.0	2.8389029518
68160.0	2.8511965677
68220.0	2.6870304995
68280.0	3.1404676626
68340.0	2.9009377238
68400.0	3.3167865065
68460.0	3.1559377173
68520.0	3.1437811632
68580.0	3.1700093237
68640.0	3.1320546324
68700.0	3.1405722179
68760.0	2.995711086
68820.0	2.9532934194
68880.0	3.184532057
68940.0	3.26606542
69000.0	3.1939798773
69060.0	2.7526357683
69120.0	2.6588311004
69180.0	2.2535447506
69240.0	2.5244099524
69300.0	2.4156309795
69360.0	2.3656515863
69420.0	2.0992071221
69480.0	2.242798645
69540.0	2.0519342747
69600.0	2.1949846924
69660.0	2.4215467741
69720.0	2.4114317308
69780.0	2.0908871496
69840.0	2.2398025759
69900.0	2.0147402958
69960.0	2.1090042648
70020.0	2.4836713703
70080.0	2.4217781216
70140.0	1.8369723402
70200.0	2.0988932261
70260.0	1.9327816626
70320.0	2.2238568848
70380.0	1.9978225606
70440.0	2.210044541
70500.0	2.4758980114
70560.0	2.0487829374
70620.0	2.1648917019
70680.0	2.0265590994
70740.0	1.8224535567
70800.0	2.1371825107
70860.0	1.8383155573
70920.0	1.7565488715
70980.0	1.590837424
71040.0	1.7355583326
71100.0	1.7006702511
71160.0	1.5803108141
71220.0	1.7052616536
71280.0	1.8835184691
71340.0	1.7888768985
71400.0	1.9727287591
71460.0	1.8917492516
71520.0	1.9850742453
71580.0	2.0260619339
71640.0	2.0295739454
71700.0	2.1040185825
71760.0	2.1367872489
71820.0	2.0771100023
71880.0	1.8565800307
71940.0	2.1791298162
72000.0	2.5116368255
72060.0	2.444652788
72120.0	2.3743059428
72180.0	2.4785444368
72240.0	2.5949285983
72300.0	2.7579559323
72360.0	2.4229296457
72420.0	2.1971529305
72480.0	2.6821812765
72540.0	2.4412765853
72600.0	2.283693878
72660.0	2.2580184986
72720.0	2.4337969987
72780.0	2.3345845427
72840.0	2.0860350566
72900.0	2.4863046206
72960.0	2.2233404304
73020.0	2.3759239213
73080.0	2.1382273672
73140.0	2.3321267698
73200.0	2.0342485582
73260.0	2.2456465261
73320.0	2.2500666714
73380.0	2.370123472
73440.0	2.670970823
73500.0	2.5558950111
73560.0	2.6539960473
73620.0	2.9292770573
73680.0	2.8158009573
73740.0	2.6307039969
73800.0	2.7440988494
73860.0	3.2556009121
73920.0	3.0246078397
73980.0	2.9100108735
74040.0	2.655213719
74100.0	2.727847518
74160.0	2.5098045798
74220.0	2.5641554017
74280.0	2.4551540969
74340.0	2.5392519743
74400.0	2.4818199053
74460.0	2.9034547589
74520.0	2.4781284862
74580.0	2.5964743429
74640.0	2.2964447461
74700.0	2.4090139313
74760.0	2.5556213107
74820.0	2.5703239123
74880.0	2.5208876992
74940.0	2.3612890948
75000.0	2.6298656971
75060.0	2.9242338062
75120.0	2.9016093457
75180.0	2.7632869273
75240.0	2.6452296579
75300.0	2.5727423541
75360.0	2.6280890124
75420.0	2.8667683312
75480.0	2.5356330831
75540.0	2.4759169841
75600.0	2.5983336912
75660.0	2.8234959198
75720.0	2.72534192
75780.0	2.5358358938
75840.0	2.2053560404
75900.0	2.2701972257
75960.0	2.1123583303
76020.0	2.1049991368
76080.0	2.0935582284
76140.0	2.0050360292
76200.0	1.9887193896
76260.0	1.9730293504
76320.0	2.2646520827
76380.0	2.2359921031
76440.0	2.0796443331
76500.0	1.8842547693
76560.0	1.7703585253
76620.0	1.8794437939
76680.0	1.9160127074
76740.0	1.7656798579
76800.0	2.10083452
76860.0	2.0372484487
76920.0	1.8341107309
76980.0	1.9598778731
77040.0	1.5881250166
77100.0	2.0192197881
77160.0	2.0112698853
77220.0	1.8956968478
77280.0	1.8490068371
77340.0	2.1129957134
77400.0	1.7745037438
77460.0	1.9379629706
77520.0	1.7591184411
77580.0	1.7370924324
